Channel : 39 || Datarate : 0 || Error : packet is too long, couldnt display
Channel : 41 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d5  ca  05  14  0e  02  09  c8  da  38  b2  e5  00   || Rest : 25  42  75  00  00  40  1d  00 
Channel : 42 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 25  4e  75  00  00  42  25  00 
Channel : 43 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 25  5a  75  00  00  40  1d  00 
Channel : 44 || Datarate : 0 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  07  00   || Rest : 25  60  75  00  00  00  11  00 
Channel : 45 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d5  ca  05  14  0e  02  09  c8  da  38  b2  e5  00   || Rest : 25  60  75  00  00  40  1d  00 
Channel : 46 || Datarate : 0 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : 05  ae  48  54  b9  65   || Rest : 27  c0  75  00  00  83  0c  00 
Channel : 47 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info :   || Rest : 27  c0  75  00  00  44  06  00 
Channel : 38 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 25  5a  7e  00  00  42  25  00 
Channel : 39 || Datarate : 0 || Address : 7f:0d:10:21:56:cf || Sender : unrecognized || Adv_info : 02  01  1a  07  ff  4c  00  10  02  0b  00   || Rest : 26  90  7e  00  00  40  11  00 
Channel : 40 || Datarate : 0 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : 63  19  1b  ee  f0  2c   || Rest : 26  c0  7e  00  00  03  0c  00 
Channel : 39 || Datarate : 2 || Error : packet is too long, couldnt display
Channel : 40 || Datarate : 2 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : 05  ae  48  54  b9  65   || Rest : 27  dc  89  00  00  83  0c  00 
Channel : 41 || Datarate : 2 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : 05  ae  48  54  b9  65   || Rest : 27  18  8a  00  00  83  0c  00 
Channel : 37 || Datarate : 1 || Address : 04:52:c7:c7:b9:7d || Sender : 24:34:36:3b:7d:df || Adv_info : 02  01  1a  03  03  be  fe  13  ff  10  01  40  0c  01  43  7c  7a  91  3c  ad  24  34  36  3b  7d  df  5f   || Rest : 25  c8  8e  00  00  00  21  00 
Channel : 38 || Datarate : 1 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 25  fe  8e  00  00  42  25  00 
Channel : 39 || Datarate : 1 || Error : packet is too long, couldnt display
Channel : 40 || Datarate : 1 || Address : 7f:0d:10:21:56:cf || Sender : unrecognized || Adv_info : 02  01  1a  07  ff  4c  00  10  02  0b  00   || Rest : 26  88  8f  00  00  40  11  00 
Channel : 40 || Datarate : 2 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 27  4c  92  00  00  40  1d  00 
Channel : 37 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 25  fe  9a  00  00  42  25  00 
Channel : 38 || Datarate : 0 || Address : 7f:0d:10:21:56:cf || Sender : unrecognized || Adv_info : 02  01  1a  07  ff  4c  00  10  02  0b  00   || Rest : 25  3a  9b  00  00  40  11  00 
Channel : 39 || Datarate : 0 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 25  52  9b  00  00  42  25  00 
Channel : 40 || Datarate : 0 || Address : 04:52:c7:c7:b9:7d || Sender : 24:34:36:3b:7d:df || Adv_info : 02  01  1a  03  03  be  fe  13  ff  10  01  40  0c  01  43  7c  7a  91  3c  ad  24  34  36  3b  7d  df  5f   || Rest : 26  b2  9b  00  00  00  21  00 
Channel : 41 || Datarate : 0 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 27  c4  9b  00  00  42  25  00 
Channel : 37 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 25  38  a3  00  00  42  25  00 
Channel : 38 || Datarate : 0 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 25  6e  a3  00  00  40  1d  00 
Channel : 39 || Datarate : 0 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 25  7a  a3  00  00  42  25  00 
Channel : 40 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d6  ca  13  13  a2  75  a8  0a  b5  5c  f6  62  7c   || Rest : 25  80  a3  00  00  40  1d  00 
Channel : 41 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 25  9e  a3  00  00  42  25  00 
Channel : 42 || Datarate : 0 || Address : 7f:0d:10:21:56:cf || Sender : unrecognized || Adv_info : 02  01  1a  07  ff  4c  00  10  02  0b  00   || Rest : 26  b6  a3  00  00  40  11  00 
Channel : 43 || Datarate : 0 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 27  0a  a4  00  00  42  25  00 
Channel : 44 || Datarate : 0 || Address : 6a:5b:e8:95:9f:f4 || Sender : unrecognized || Adv_info : 02  01  1a  0a  ff  4c  00  10  05  0a  10  60  6f  7a   || Rest : 27  0a  a4  00  00  40  14  00 
Channel : 45 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d6  ca  13  13  a2  75  a8  0a  b5  5c  f6  62  7c   || Rest : 27  3a  a4  00  00  40  1d  00 
Channel : 46 || Datarate : 0 || Address : 04:52:c7:c7:b9:7d || Sender : 24:34:36:3b:7d:df || Adv_info : 02  01  1a  03  03  be  fe  13  ff  10  01  40  0c  01  43  7c  7a  91  3c  ad  24  34  36  3b  7d  df  5f   || Rest : 27  4c  a4  00  00  00  21  00 
Channel : 38 || Datarate : 1 || Error : packet is too long, couldnt display
Channel : 39 || Datarate : 1 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d8  ca  80  88  c7  da  5a  a8  52  8d  eb  ed  9f   || Rest : 26  10  bc  00  00  40  1d  00 
Channel : 40 || Datarate : 1 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 26  2e  bc  00  00  42  25  00 
Channel : 41 || Datarate : 1 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : ec  84  22  31  6f  68   || Rest : 26  2e  bc  00  00  83  0c  00 
Channel : 42 || Datarate : 1 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info :   || Rest : 26  2e  bc  00  00  44  06  00 
Channel : 43 || Datarate : 1 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d8  ca  80  88  c7  da  5a  a8  52  8d  eb  ed  9f   || Rest : 26  2e  bc  00  00  40  1d  00 
Channel : 44 || Datarate : 1 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f6  50  c2  43  b0  f2  2c  76  a8  af  fa  79  5c   || Rest : 27  70  bc  00  00  40  1d  00 
Channel : 45 || Datarate : 1 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d8  ca  80  88  c7  da  5a  a8  52  8d  eb  ed  9f   || Rest : 27  70  bc  00  00  40  1d  00 
Channel : 46 || Datarate : 1 || Address : 61:6a:cc:92:d6:f5 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 27  70  bc  00  00  40  11  00 
Channel : 47 || Datarate : 1 || Address : 0b:c3:24:88:81:60 || Sender : 02:03:d4:f0:d0:da || Adv_info : 1e  ff  06  00  01  09  20  00  0f  4a  0a  d7  28  43  3a  67  1a  79  b0  65  02  03  d4  f0  d0  da  f7  52  30  08  cf   || Rest : 27  76  bc  00  00  42  25  00 
Channel : 48 || Datarate : 1 || Address : 6a:5b:e8:95:9f:f4 || Sender : unrecognized || Adv_info : 02  01  1a  0a  ff  4c  00  10  05  0a  10  60  6f  7a   || Rest : 27  7c  bc  00  00  40  14  00 
Channel : 49 || Datarate : 1 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f6  50  c2  43  b0  f2  2c  76  a8  af  fa  79  5c   || Rest : 27  8e  bc  00  00  40  1d  00 
Channel : 50 || Datarate : 1 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : ec  84  22  31  6f  68   || Rest : 27  8e  bc  00  00  83  0c  00 
Channel : 51 || Datarate : 1 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info :   || Rest : 27  8e  bc  00  00  44  06  00 
Channel : 39 || Datarate : 2 || Address : 61:6a:cc:92:d6:f5 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 27  2e  c2  00  00  40  11  00 
Channel : 40 || Datarate : 2 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f6  50  c2  43  b0  f2  2c  76  a8  af  fa  79  5c   || Rest : 27  40  c2  00  00  40  1d  00 
Channel : 41 || Datarate : 2 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 27  46  c2  00  00  00  11  00 
